id;nombre;descripcion;url_git_lab;fecha_entrega;creado;modificado
1;Director;Morado;transmit;2023-02-08;2023-02-08T23:25:24;2023-02-08T20:51:24
2;Pizza;Nakfa;capacitor;2023-02-08;2023-02-08T19:45:24;2023-02-08T08:08:01
3;interactive;clicks-and-mortar;SQL a;2023-02-08;2023-02-08T16:18:43;2023-02-08T10:30:42
4;Silla virtual Zapatos;Intranet;SCSI;2023-02-08;2023-02-08T22:29:12;2023-02-08T11:53:46
5;Violeta calculating Loan;Productor quantify RAM;PCI overriding;2023-02-08;2023-02-08T21:55:30;2023-02-08T14:32:07
6;contexto auxiliary;withdrawal SCSI;Extremadura;2023-02-08;2023-02-08T09:12:03;2023-02-08T16:34:35
7;Informática;Morado Guapa Refinado;deploy Guantes Salchichas;2023-02-08;2023-02-08T15:22:51;2023-02-08T19:46:21
8;indexing;generating FTP;Madera Ladrillo;2023-02-08;2023-02-08T11:13:33;2023-02-08T14:21:53
9;Acero Croacia;Gris Diverso;grupo;2023-02-08;2023-02-08T16:29:08;2023-02-08T16:22:42
10;Mesa;Galicia Genérico Mozambique;monetize Guinea-Bisau Librería;2023-02-08;2023-02-08T07:22:49;2023-02-09T04:48:30
