id;nombre;id_proyecto_git_lab;creado;modificado
1;Operaciones input Gerente;bricks-and-clicks wireless;2023-02-24T05:52:48;2023-02-23T17:50:42
2;overriding primary program;platforms Librería Integración;2023-02-23T23:23:23;2023-02-23T20:19:54
3;Madera;Comunidad Ensalada;2023-02-24T09:47:11;2023-02-23T21:42:07
4;local explícita Granito;Borders payment Rojo;2023-02-23T22:27:11;2023-02-24T13:59:54
5;connect Quinta;Madrid Bedfordshire;2023-02-24T09:48:54;2023-02-24T10:45:48
6;Integrado;hack Decoración a;2023-02-23T20:13:33;2023-02-24T03:19:28
7;Raton Vía;Aruba mano Granito;2023-02-24T05:16:05;2023-02-24T14:14:40
8;reboot Mesa Ingeniero;Artesanal Descentralizado;2023-02-24T15:46:45;2023-02-23T21:01:36
9;Quinta bleeding-edge;San Mascotas Verde;2023-02-24T13:25:03;2023-02-24T12:58:52
10;AGP Acero proactive;Funcionalidad uniforme;2023-02-24T00:18:23;2023-02-23T20:53:40
