id;nombre;id_git_lab;token_identificacion
1;Buckinghamshire transmitting;multiestado;Queso actitud Account
2;Metal Interno Leone;transmitting Galicia;convergence COM Acero
3;Bedfordshire SCSI;Total;program Adelante
4;Decoración Ramal;PCI Rial Toallas;real-time generación
5;Violeta;Expandido cara;Micronesia Corporativo
6;Hormigon proyección payment;up;Bicicleta
7;impactful Tunez Pound;generating Fantástico e-commerce;tiempo
8;open-source Refinado;Avon mano Salud;Amarillo
9;Dominica;Técnico;Granito Horizontal
10;payment online benchmark;infomediaries input;Plástico
